boardId,suggId,timestamp,suggestionText,type,grouping,studyType,topicTask,opened,suggestionsQueried
o9J_lwT45Gc=,-MjzTy3_1nYqoLLAfJRU,2021-09-19 19:15:13.788954,Greenhouse gas levels,Cross-Pollination,Line,On Board,COVID-19,1,1
o9J_lwT45Gc=,-MjzTy7Z1JUboCfwTgES,2021-09-19 19:15:13.788954,Post-covid Green Recovery,Cross-Pollination,Line,On Board,COVID-19,1,1
o9J_lwT45UE=,-Mk3WwtZYG-icTAqT7ww,2021-09-20 18:46:21.512884,Air pollution,Cluster Title,Cluster,Sidebar,COVID-19,1,0
o9J_lwT45UE=,-Mk3Wwxzx10NskVOsG7I,2021-09-20 18:46:21.512884,Greenhouse gas levels,Cluster Title,Cluster,Sidebar,COVID-19,1,0
o9J_lwT45UE=,-Mk3Wx0PcOep7cCcv4x3,2021-09-20 18:46:21.512884,Post-covid Green Recovery,Cluster Title,Cluster,Sidebar,COVID-19,1,0
o9J_lwT45UE=,-Mk3XHUUjCSSvWwMzO_l,2021-09-20 18:47:49.958770,Packaging industry,Cluster Title,Cluster,Sidebar,COVID-19,1,0
o9J_lwT45UE=,-Mk3XHXuiV8PAB4GYGNB,2021-09-20 18:47:49.958770,E-commerce,Cluster Title,Cluster,Sidebar,COVID-19,1,1
o9J_lwT45UE=,-Mk3XHaGiGb6kzZ4arzk,2021-09-20 18:47:49.958770,Food and dinning industry,Cluster Title,Cluster,Sidebar,COVID-19,1,1
o9J_lwT45UE=,-Mk3XZdJPD0xjSXWerOz,2021-09-20 18:49:04.314194,Illegal killing/poaching of wildlife,Note,Note,Sidebar,COVID-19,1,1
o9J_lwT45UE=,-Mk3XZh6FNsNWJQ14YTd,2021-09-20 18:49:04.314194,Bike sales,Note,Note,Sidebar,COVID-19,1,0
o9J_lwT45UE=,-Mk3XZkMRqFkt_GHyagm,2021-09-20 18:49:04.314194,Regulations,Note,Note,Sidebar,COVID-19,1,0
o9J_lwT45UE=,-Mk3XySMb9bo0DGgCoke,2021-09-20 18:50:50.038217,Indigenous people,Note,Note,Sidebar,COVID-19,1,0
o9J_lwT45UE=,-Mk3Yc8gV4QS3PQFryEF,2021-09-20 18:53:40.818288,Carbon inequality,Cross-Pollination,Line,Sidebar,COVID-19,1,0
o9J_lwT45UE=,-Mk3YcC1xN-S-4XJIe4H,2021-09-20 18:53:40.818288,Post-covid Green Recovery,Cross-Pollination,Line,Sidebar,COVID-19,1,0
o9J_lwTEkh4=,-Mk5W7Dfd5GEwF_Ep2J4,2021-09-21 04:02:00.120176,Wildlife conservation and management,Note,Note,Sidebar,COVID-19,1,1
o9J_lwTEkh4=,-Mk5W7J4jGxhTbFXXfVl,2021-09-21 04:02:00.120176,Biomedical waste,Note,Note,Sidebar,COVID-19,1,1
o9J_lwTEkh4=,-Mk5WHH_w75uLcG8rh7_,2021-09-21 04:02:41.398165,Air pollution,Note,Note,Sidebar,COVID-19,1,1
o9J_lwTEkh4=,-Mk5WHL8x62RGU7MsbOI,2021-09-21 04:02:41.398165,Noise pollution,Note,Note,Sidebar,COVID-19,1,1
o9J_lwTEkh4=,-Mk5WHOLobdqZq0itxXh,2021-09-21 04:02:41.398165,Water pollution,Note,Note,Sidebar,COVID-19,1,1
o9J_lwTEkh4=,-Mk5XjuzFOirzVCzZ82q,2021-09-21 04:09:04.924006,Air pollution ozone spikes,Note,Note,Sidebar,COVID-19,0,0
o9J_lwTEkh4=,-Mk5XjyUQ9F1PwnVonXw,2021-09-21 04:09:04.924006,Air pollution NO2,Note,Note,Sidebar,COVID-19,0,0
o9J_lwTEkh4=,-Mk5Xk0iL3mieSb0nK01,2021-09-21 04:09:04.924006,Invasive alien species,Note,Note,Sidebar,COVID-19,0,0
o9J_lwTEkh4=,-Mk5eQCnlXDC1hJ2gKCG,2021-09-21 04:42:37.272002,Construction industry,Note,Note,Sidebar,COVID-19,0,0
o9J_lwTEkh4=,-Mk5eQG3fmOUMhFWLqdP,2021-09-21 04:42:37.272002,Bike sales,Note,Note,Sidebar,COVID-19,0,0
o9J_lwTEkh4=,-Mk5eQJYZOukh5kC5nzp,2021-09-21 04:42:37.272002,Heritage conservation,Note,Note,Sidebar,COVID-19,0,0
o9J_lwTEnSI=,-Mk4G5abACOqj6PeKzts,2021-09-20 22:12:22.007034,Space stations,Note,Note,On Board,Space Travel,1,1
o9J_lwTEnSI=,-Mk4G5eGU2MdR5KoZKda,2021-09-20 22:12:22.007034,NASA's Commerical Crew Program,Note,Note,On Board,Space Travel,1,0
o9J_lwTEnSI=,-Mk4G5hrXTlKj29wUChf,2021-09-20 22:12:22.007034,2015 SPACE Act,Note,Note,On Board,Space Travel,1,1
o9J_lwTEnSI=,-Mk4GjT4rzIc2l8SA0nm,2021-09-20 22:15:09.398521,Soviet space station Salyutxz,Note,Note,On Board,Space Travel,1,0
o9J_lwTEnSI=,-Mk4GjWipGoweSC98LI0,2021-09-20 22:15:09.398521,Satellite communication weather surveillance,Note,Note,On Board,Space Travel,1,0
o9J_lwTEnSI=,-Mk4GtBLRjl0kyhE_egf,2021-09-20 22:15:49.222959,Space X reusable rocket development,Note,Note,On Board,Space Travel,1,1
o9J_lwTEnSI=,-Mk4H2QABbQxtddO8nwE,2021-09-20 22:16:31.125260,Commtttee on the Peaceful Uses of Outer Space,Line,Line,On Board,Space Travel,1,1
o9J_lwTEnSI=,-Mk4H2TmBM8L_QUMsj0g,2021-09-20 22:16:31.125260,International space agencies with commercial purposes,Line,Line,On Board,Space Travel,1,1
o9J_lwTEnSI=,-Mk4IBzNHIFV-vsff-Qi,2021-09-20 22:21:32.465940,Outer Space Treaty,Note,Note,On Board,Space Travel,1,1
o9J_lwTEnSI=,-Mk4IKO_NBYtUCdje4Wr,2021-09-20 22:22:06.898291,Climate Change rocket emissions,Note,Note,On Board,Space Travel,1,1
o9J_lwTEnSI=,-Mk4IwqfNVfvdQv8VL_H,2021-09-20 22:24:48.519082,Space hotels,Cluster Title,Cluster,On Board,Space Travel,1,1
o9J_lwTEnSI=,-Mk4K3D8TcIcIDex_PTf,2021-09-20 22:29:40.824346,International Lunar Research Station,Note,Note,On Board,Space Travel,1,1
o9J_lwTEnSI=,-Mk4K3GqQjXAeJoXOZK7,2021-09-20 22:29:40.824346,Space-based solar power,Note,Note,On Board,Space Travel,1,0
o9J_lwTEnSI=,-Mk4K3KSsktUUJhFzpZC,2021-09-20 22:29:40.824346,Artemis Program Lunar economy,Note,Note,On Board,Space Travel,1,0
o9J_lwTEnSI=,-Mk4LOOzpf5JgAMJ1hxP,2021-09-20 22:35:29.738594,International space alliance,Note,Note,On Board,Space Travel,1,1
o9J_lwTEnSI=,-Mk4LOSUkHNisHtUkxJZ,2021-09-20 22:35:29.738594,The Wolf Amendment,Note,Note,On Board,Space Travel,1,1
o9J_lwTEnSI=,-Mk4MY3hC4zWMYAdztCU,2021-09-20 22:40:31.476347,China Aerospace Science and Technology Corportation,Note,Note,On Board,Space Travel,1,1
o9J_lwTEnSI=,-Mk4MY7Uw0FW3JK0E6Vy,2021-09-20 22:40:31.476347,Soviet Union,Note,Note,On Board,Space Travel,1,0
o9J_lwTEnSI=,-Mk4NDMemnxolFbQpXZd,2021-09-20 22:43:28.831524,Asteroid mining,Note,Note,On Board,Space Travel,1,1
o9J_lwTEnSI=,-Mk4NYiaKKsx9uFcPlYA,2021-09-20 22:44:56.308949,Aurora Station,Cluster Title,Cluster,On Board,Space Travel,1,0
o9J_lwTEnSI=,-Mk4NcQveC4YfLrzdvsy,2021-09-20 22:45:15.604643,U.S. Commercial Space Launch Competitiveness Act,Cluster Title,Cluster,On Board,Space Travel,1,0
o9J_lwTEnZk=,-Mk5HdkO3eZEw7tm_1kd,2021-09-21 02:58:45.363172,Wildlife conservation and management,Note,Note,Sidebar,COVID-19,1,1
o9J_lwTEnZk=,-Mk5HdnePQvQtO50oaAU,2021-09-21 02:58:45.363172,Tourism,Note,Note,Sidebar,COVID-19,1,1
o9J_lwTEnZk=,-Mk5Hdqf-LkvWyyJ1wDk,2021-09-21 02:58:45.363172,Manufacturing and food industry,Note,Note,Sidebar,COVID-19,1,0
